Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.475,Thu Sep 06 19:00:01 +0000 2018,0.0,0.808,0.192,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Here are @FBICBS’ @JeremySisto and @EboneeReigne with a powerful message before #StandUpToCancer airs tomorrow! https://t.co/OCqh91N1OO,80
0.0,Wed Sep 05 21:00:00 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Here's everything you need to know before tuning into #StandUpToCancer this Friday at 8/7c: https://t.co/IT9ht84TZ1 https://t.co/OK4AOxw5mP,81
0.361,Wed Sep 05 17:32:40 +0000 2018,0.0,0.889,0.111,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Survivor host @JeffProbst is here to break down the theme of #Survivor: David vs. Goliath before the new season beg… https://t.co/8TcA200eFQ,82
0.691,Wed Sep 05 16:48:09 +0000 2018,0.0,0.467,0.533,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thanks, @StephenAtHome. 
P.S. Nice beard. #LSSC https://t.co/wppVtfR9cL",83
0.422,Tue Sep 04 20:34:26 +0000 2018,0.0,0.865,0.135,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",The biggest names in entertainment are coming together once again for #StandUpToCancer this Friday at 8/7c on @CBS… https://t.co/ntuGKLYvuW,84
0.651,Sat Sep 01 15:25:34 +0000 2018,0.0,0.829,0.171,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @cbsallaccess: Stream #17 @WestVirginiaU vs. @UTKnoxville LIVE today at 3:30PM ET on CBS All Access! Try 1 month FREE using code BINGENO…,85
0.0,Fri Aug 31 21:26:49 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","In just one week, @RWitherspoon, @McConaughey, Jennifer Garner, and more will attend the #​StandUpToCancer fundrais… https://t.co/iHKGOoWejA",86
0.0,Fri Aug 31 18:01:01 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Believe in miracles. Watch this sneak peek of the complete premiere episode of @GodFriendedMe now, a month before i… https://t.co/5AIUH5VmMk",87
-0.691,Thu Aug 30 19:45:51 +0000 2018,0.239,0.761,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cbsallaccess: Money. Murder. Mystery. #OneDollar is now streaming, exclusively on CBS All Access. https://t.co/3qFdTEmVU5 https://t.co/…",88
0.624,Thu Aug 30 15:32:47 +0000 2018,0.0,0.83,0.17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @GodFriendedMe: It's a godsend! We're dropping the #GodFriendedMe pilot tomorrow right here on Twitter for you to stream a full month be…,89
0.0,Mon Aug 27 23:36:57 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","It's almost time for sweater weather, pumpkin spice lattes, and CBS Fall TV premieres. Check out the storylines for… https://t.co/BpgDyYl8fc",90
-0.439,Fri Aug 24 20:30:16 +0000 2018,0.121,0.879,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @cbsallaccess: #NFL preseason coverage is here! 🏈 The Detroit @Lions battle the Tampa Bay @Buccaneers tonight at 8PM ET. Stream the game…,91
0.0,Wed Aug 22 20:55:25 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@bigbangtheory 🎶...happy kitty, sleepy kitty, purr purr purr🎶 #TheBigBangTheory https://t.co/sEObppGJlZ",92
0.0,Wed Aug 22 20:10:12 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","This is going to require multiple singings of ""Soft Kitty."" https://t.co/UdRGNeQ7Lb",93
0.542,Mon Aug 20 21:59:56 +0000 2018,0.0,0.829,0.171,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Got to get more of the @PaulMcCartney #CarpoolKaraoke into your life? @latelateshow produced an hour-long bonus spe… https://t.co/DjPqajo6Xn,94
0.318,Fri Aug 17 17:42:02 +0000 2018,0.0,0.887,0.113,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","How much does it cost to bury the truth? 
#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/ZL5TBH9ro5",95
0.0,Thu Aug 16 18:40:09 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Things got carried away when @ArianaGrande joined @latelateshow for #CarpoolKaraoke. So did Ariana. #ArianaCarpool https://t.co/WSZcC0TaYz,96
-0.527,Thu Aug 16 00:09:03 +0000 2018,0.188,0.72,0.092,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @cbsallaccess: Murder mystery set in a small town? We're in. Rediscover the genius of original #TwinPeaks co-creators @DAVID_LYNCH and @…,97
0.0,Sun Aug 12 23:30:02 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",New start times for @60Minutes 7:20ET/6:20CT @CBSBigBrother 8:20ET/7:20CT @NCISLA 9:20ET/8:20CT @Elementary_CBS 10:… https://t.co/Op9VcDsREa,98
0.439,Sun Aug 12 15:04:59 +0000 2018,0.0,0.874,0.126,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Clear your schedules for the 100th #PGAChamp! Stream the Final Round LIVE on @cbsallaccess at 2 PM ET across all de… https://t.co/m6bH2pKTUN,99
-0.318,Sat Aug 11 18:00:00 +0000 2018,0.103,0.897,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",The fortune teller you’ll meet this Saturday lived a life of luxury... by scamming her victims out of hundreds of t… https://t.co/fJo6F2Eo5p,100
-0.74,Wed Oct 03 07:35:43 +0000 2018,0.323,0.608,0.069,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Desperation is growing in the stricken Indonesian city of Palu, as residents face a fourth day without adequate foo… https://t.co/tDP51kxSAq",1
0.178,Wed Oct 03 07:31:04 +0000 2018,0.067,0.837,0.096,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","There’s no way to know the fate of Brett Kavanaugh’s Supreme Court nomination, but here are four ways it could play… https://t.co/MLrFb1lGfQ",2
0.273,Wed Oct 03 07:12:02 +0000 2018,0.0,0.87,0.13,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The creation myth of the billionaire businessman Donald Trump just imploded | Analysis by @cillizzacnn… https://t.co/TRRfVJdqEP,3
0.128,Wed Oct 03 07:02:40 +0000 2018,0.088,0.763,0.149,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Travelers arriving in New Zealand could now face a fine of up to $3,200 (5,000 NZD) if they refuse to allow border… https://t.co/ReelDnxely",4
0.226,Wed Oct 03 07:01:04 +0000 2018,0.0,0.917,0.083,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Thailand's Maya Bay, made popular by the film ""The Beach,"" was due to reopen this month, but now will remain closed… https://t.co/5fQcn2dM1a",5
0.0,Wed Oct 03 06:53:47 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Here's how much fast food Americans are eating https://t.co/0zQfx4SO7S https://t.co/d8wNOVKJDt,6
-0.402,Wed Oct 03 06:48:25 +0000 2018,0.144,0.856,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",President Trump's mocking of Christine Blasey Ford during a campaign rally could make Senate Majority Leader Mitch… https://t.co/5m1SCYTXs1,7
